condition_identifier,mae_mean,mae_sample_std,mape_percent_mean,mape_percent_sample_std,model_identifier,rmse_mean,rmse_sample_std,scope_identifier,seed_count,wmape_percent_mean,wmape_percent_sample_std
iid_random_50pct,1.7758910183928105,0.003109908839421506,4.152261332758321,0.01610103625328121,FAR-GF-RC,3.906022491133239,0.018674594376675693,horizon_6,5,2.842859878125439,0.004978365773942678
iid_random_50pct,1.7334836157038862,0.004120235416935623,4.045931585481917,0.02469435207770587,FAR-GF-RC,3.8350862651604536,0.019111740658208677,overall,5,2.7749815553507413,0.006595722729722333
spatial_geographic_knn4_cluster_16_full_history,2.0278700762814252,0.011025691754458618,4.862905574084005,0.03440091050000401,FAR-GF-RC,4.469538177762205,0.029203125162784612,horizon_12,5,3.2461594551190216,0.01764962852235357
spatial_geographic_knn4_cluster_16_full_history,1.4132276054696278,0.004089814236875349,3.1009035155292426,0.027374548223616235,FAR-GF-RC,2.9721603323360752,0.010861521454795391,horizon_3,5,2.262356985665743,0.006547154735061476
spatial_geographic_knn4_cluster_16_full_history,1.7266817389820204,0.0016070522345578372,4.009473175406147,0.0072861915976088504,FAR-GF-RC,3.7953803497618672,0.01823372806668222,horizon_6,5,2.764085288570386,0.002572581466069349
spatial_geographic_knn4_cluster_16_full_history,1.6701202682706888,0.0026020362070971943,3.870517002539691,0.014238278002944409,FAR-GF-RC,3.709025994186838,0.016614527102633083,overall,5,2.673548741784167,0.004165371057238067
spatial_geographic_knn4_cluster_32_full_history,2.053885733059988,0.010587412298823332,4.912854340629443,0.03351066420951901,FAR-GF-RC,4.5038051592417485,0.029570433939154234,horizon_12,5,3.2878046133668932,0.016948042648812816
spatial_geographic_knn4_cluster_32_full_history,1.4611399729551529,0.0038432836475145496,3.2147724176519703,0.024827986582181938,FAR-GF-RC,3.0853814877074024,0.012430155469859048,horizon_3,5,2.3390572134713277,0.006152497711053643
spatial_geographic_knn4_cluster_32_full_history,1.7607123121486665,0.0013865869555127269,4.082992557175389,0.00783651931246155,FAR-GF-RC,3.8540092771305003,0.019384894356348537,horizon_6,5,2.818561689477365,0.0022196589669824882
spatial_geographic_knn4_cluster_32_full_history,1.7086417196112524,0.0024134487150106743,3.955790647488314,0.01191987432423092,FAR-GF-RC,3.7765471673810964,0.017554938843319177,overall,5,2.7352143473814827,0.0038634779171075094
spatial_geographic_knn4_cluster_8_full_history,2.0118440992069284,0.01130670032453252,4.824927792116441,0.03461269083427051,FAR-GF-RC,4.4439763585462515,0.02920079533280945,horizon_12,5,3.2205055053831018,0.018099459424926762
spatial_geographic_knn4_cluster_8_full_history,1.3843455494476828,0.004256171514855958,3.0244703452990613,0.028683109622218105,FAR-GF-RC,2.8962626780047573,0.00994319968969621,horizon_3,5,2.2161213184959645,0.006813466791590188
spatial_geographic_knn4_cluster_8_full_history,1.7044129010405815,0.0016972836830220328,3.953922928928656,0.007672994633846946,FAR-GF-RC,3.7512244013599676,0.01745255463763078,horizon_6,5,2.7284371630601347,0.002717024656516834
spatial_geographic_knn4_cluster_8_full_history,1.646546331347637,0.00274878058844547,3.8115432549498167,0.014887330754055175,FAR-GF-RC,3.6617090456755457,0.016142985291811063,overall,5,2.6358112982018644,0.00440028123919994
temporal_tail_25pct_sensors_3steps,2.0268535714855473,0.011803437938602022,4.8663707642228555,0.032976132021192144,FAR-GF-RC,4.477937569041728,0.03194604161878212,horizon_12,5,3.2445322617929264,0.018894623534050282
temporal_tail_25pct_sensors_3steps,1.4233527838208575,0.0033484652546616747,3.1367866401505573,0.026986087859957545,FAR-GF-RC,3.012097064345094,0.013354895132905992,horizon_3,5,2.2785658170566387,0.005360370637272933
temporal_tail_25pct_sensors_3steps,1.723409513081042,0.001721829592363127,4.012019207370403,0.008370214034836718,FAR-GF-RC,3.804665904302257,0.02012041402847837,horizon_6,5,2.758847084407118,0.002756317935279562
temporal_tail_25pct_sensors_3steps,1.675212636906225,0.003005468580530796,3.8905232132199123,0.013997276900252268,FAR-GF-RC,3.727164742624698,0.01840249105091725,overall,5,2.681700667137624,0.004811190484066095
temporal_tail_50pct_sensors_6steps,2.097415629645744,0.010868565363528713,5.045554917171971,0.030822406445913598,FAR-GF-RC,4.595728883785472,0.034799983291306555,horizon_12,5,3.3574860919956024,0.017398104854475845
temporal_tail_50pct_sensors_6steps,1.566617952020967,0.0033792751418817877,3.5449135584254514,0.02076304080605481,FAR-GF-RC,3.378088616495904,0.013699995729426241,horizon_3,5,2.5079110073328987,0.005409692461521245
temporal_tail_50pct_sensors_6steps,1.8161097470502476,0.0017972359495728753,4.26754830012276,0.008932694407390678,FAR-GF-RC,4.000221933323809,0.021278107764552252,horizon_6,5,2.90724232550834,0.0028770290066500214
temporal_tail_50pct_sensors_6steps,1.786755121153502,0.0026876044634952883,4.192639808397941,0.011748971869420253,FAR-GF-RC,3.9533730705811605,0.020126238639353228,overall,5,2.860259226111087,0.004302349757859907
temporal_tail_75pct_sensors_12steps,2.4854273479308264,0.005127634008885585,5.8944750430408845,0.03467884434607619,FAR-GF-RC,5.0814422003724475,0.03646182364904469,horizon_12,5,3.978604734032954,0.008208177543039036
temporal_tail_75pct_sensors_12steps,2.1593053949442993,0.0033683444137015336,4.94552652067152,0.02931651040503037,FAR-GF-RC,4.394322789691137,0.024134833703251563,horizon_3,5,3.456711166362047,0.005392194070489701
temporal_tail_75pct_sensors_12steps,2.2998778051221045,0.0020941862315788703,5.353892820135455,0.04028279614637807,FAR-GF-RC,4.69472291898051,0.030214240155274172,horizon_6,5,3.681661920161045,0.003352389281447356
temporal_tail_75pct_sensors_12steps,2.2903664378759325,0.0016693086808177609,5.339031975217187,0.030561273920538604,FAR-GF-RC,4.690383342033006,0.027240004160601558,overall,5,3.6664463179938,0.0026722495427653997
clean_native_history,2.131397080624808,0.007966772448892536,5.111986636354102,0.11615832162395752,MS-GRU,4.709029892763197,0.025993053502195673,horizon_12,5,3.4118826776963145,0.012752993406351429
clean_native_history,1.4461721078593641,0.006041891902760848,3.277294184901377,0.05563744273377292,MS-GRU,3.060078937461654,0.028503107499638247,horizon_3,5,2.315095995880544,0.009672126626981593
clean_native_history,1.7640403840932504,0.006843715624246419,4.120707080643865,0.06041747987769368,MS-GRU,3.9181060973203663,0.024523147937982576,horizon_6,5,2.823889292412895,0.010955472134251744
clean_native_history,1.7347624959154104,0.006468008995509776,4.063751141726158,0.0688709630559376,MS-GRU,3.8711292051396597,0.024341790067613386,overall,5,2.777028802273835,0.010354067093442837
iid_random_10pct,2.1373678484560665,0.007789556339962735,5.130882621016389,0.1180431053520926,MS-GRU,4.717041498786268,0.0246663791593057,horizon_12,5,3.421440521010074,0.012469310662407114
