baseline_mae,baseline_model,condition_identifier,far_mae,model_seed,paired_mae_improvement_percent,reference_model,scope_identifier
1.8571680839480107,MS-GRU,iid_random_50pct,1.7752115739413439,43,4.412982902034467,FAR-GF-RC,horizon_6
2.19331869938884,MS-GRU,iid_random_50pct,2.065674934288492,43,5.819663377507125,FAR-GF-RC,horizon_12
1.793409623668178,MS-GRU,temporal_tail_25pct_sensors_3steps,1.6726285670097523,43,6.7347166572790185,FAR-GF-RC,overall
1.5351678190846256,MS-GRU,temporal_tail_25pct_sensors_3steps,1.4262102103562697,43,7.097439600663598,FAR-GF-RC,horizon_3
1.8156017080985025,MS-GRU,temporal_tail_25pct_sensors_3steps,1.7231491231794278,43,5.0921181945736995,FAR-GF-RC,horizon_6
2.1563569140689705,MS-GRU,temporal_tail_25pct_sensors_3steps,2.0099205921175467,43,6.790912997566044,FAR-GF-RC,horizon_12
1.9430900629307242,MS-GRU,temporal_tail_50pct_sensors_6steps,1.7839995324321627,43,8.187501626075344,FAR-GF-RC,overall
1.7391031545306535,MS-GRU,temporal_tail_50pct_sensors_6steps,1.569557506079679,43,9.749027710592086,FAR-GF-RC,horizon_3
1.949291987355336,MS-GRU,temporal_tail_50pct_sensors_6steps,1.8151560458397817,43,6.881264704603882,FAR-GF-RC,horizon_6
2.2422699596485285,MS-GRU,temporal_tail_50pct_sensors_6steps,2.08151188365668,43,7.169434496506694,FAR-GF-RC,horizon_12
2.567653297124799,MS-GRU,temporal_tail_75pct_sensors_12steps,2.291867976183182,43,10.74075387243422,FAR-GF-RC,overall
2.465625673259686,MS-GRU,temporal_tail_75pct_sensors_12steps,2.1626506852345293,43,12.28795560133051,FAR-GF-RC,horizon_3
2.555328650813897,MS-GRU,temporal_tail_75pct_sensors_12steps,2.2998750483058363,43,9.996898145633676,FAR-GF-RC,horizon_6
2.735318802784467,MS-GRU,temporal_tail_75pct_sensors_12steps,2.4824035493457366,43,9.246280659543984,FAR-GF-RC,horizon_12
1.7559362691248088,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.6451593385785357,43,6.308710201736787,FAR-GF-RC,overall
1.4745220571668225,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.3886414021059483,43,5.824304536066897,FAR-GF-RC,horizon_3
1.7855302892760834,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.7050360870780223,43,4.508139832827826,FAR-GF-RC,horizon_6
2.143732216015432,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.9959722118104424,43,6.892652127961775,FAR-GF-RC,horizon_12
1.7858988436477774,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.6688043960490657,43,6.556611423721015,FAR-GF-RC,overall
1.5107810480836334,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.4173377218584495,43,6.1851005043856695,FAR-GF-RC,horizon_3
1.814310425675521,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.7273752636003563,43,4.791636582410978,FAR-GF-RC,horizon_6
2.1654201585459187,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,2.01239076053371,43,7.066960996380858,FAR-GF-RC,horizon_12
1.8378119343664525,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7076525366787918,43,7.082302343004996,FAR-GF-RC,overall
1.574113506622657,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.465186225119525,43,6.919912766446006,FAR-GF-RC,horizon_3
1.8627430007297554,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7614007080466272,43,5.440487101195708,FAR-GF-RC,horizon_6
2.203563992932745,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,2.0393593505333043,43,7.451775529373166,FAR-GF-RC,horizon_12
1.740939510943653,MS-GRU,clean_native_history,1.623261873248746,71,6.7594328783497675,FAR-GF-RC,overall
1.4515243588229165,MS-GRU,clean_native_history,1.3574238669646237,71,6.482873765522038,FAR-GF-RC,horizon_3
1.7713778711241523,MS-GRU,clean_native_history,1.683892656033511,71,4.938822851790592,FAR-GF-RC,horizon_6
2.140976486192533,MS-GRU,clean_native_history,1.994824580178776,71,6.826413412585884,FAR-GF-RC,horizon_12
1.7539487742348723,MS-GRU,iid_random_10pct,1.6348405255613554,71,6.790862448390242,FAR-GF-RC,overall
1.4702764834297124,MS-GRU,iid_random_10pct,1.3720822120475655,71,6.678626264434917,FAR-GF-RC,horizon_3
1.782769073062076,MS-GRU,iid_random_10pct,1.6929814629319166,71,5.036412819072554,FAR-GF-RC,horizon_6
2.1468095991138934,MS-GRU,iid_random_10pct,2.0025890978218457,71,6.717899032665748,FAR-GF-RC,horizon_12
1.7882224546313235,MS-GRU,iid_random_30pct,1.668479323106696,71,6.696210038885497,FAR-GF-RC,overall
1.5192275490228528,MS-GRU,iid_random_30pct,1.411720535632516,71,7.076426007380129,FAR-GF-RC,horizon_3
1.8128866335947413,MS-GRU,iid_random_30pct,1.7209173358958716,71,5.073085983126558,FAR-GF-RC,horizon_6
2.1637087550010885,MS-GRU,iid_random_30pct,2.0289604925607057,71,6.22765250308908,FAR-GF-RC,horizon_12
1.8466785521444626,MS-GRU,iid_random_50pct,1.7284030221122348,71,6.40477087335421,FAR-GF-RC,overall
1.599601655259343,MS-GRU,iid_random_50pct,1.4807942644667362,71,7.42731106847627,FAR-GF-RC,horizon_3
1.8652008299397511,MS-GRU,iid_random_50pct,1.7712499774033632,71,5.037036818143742,FAR-GF-RC,horizon_6
2.195955971648414,MS-GRU,iid_random_50pct,2.0792676976109954,71,5.313780218909642,FAR-GF-RC,horizon_12
1.800916541928772,MS-GRU,temporal_tail_25pct_sensors_3steps,1.6716997706083145,71,7.175056051296361,FAR-GF-RC,overall
